TmpAbs,AcX,AcY,AcZ,VelX,VelY,VelZ,PosX,PosY,PosZ
500,0,0,0,0,-426,-358,0,-211296,-177568
750,0,0,0,0,-426,-358,0,-317796,-267068
1000,0,0,0,0,-426,-358,0,-424296,-356568
1250,0,0,0,0,-426,-358,0,-530796,-446068
1500,0,0,0,0,-426,-358,0,-637296,-535568
1750,0,0,0,0,-426,-358,0,-743796,-625068
2000,0,0,0,0,-426,-358,0,-850296,-714568
2250,0,0,0,0,-426,-358,0,-956796,-804068
2500,0,0,0,0,-426,-358,0,-1063296,-893568
2750,0,0,0,0,-426,-358,0,-1169796,-983068
3000,0,0,0,0,-426,-358,0,-1276296,-1072568
3250,0,0,0,0,-426,-358,0,-1382796,-1162068
3500,0,0,0,0,-426,-358,0,-1489296,-1251568
3750,0,0,0,0,-426,-358,0,-1595796,-1341068
4000,0,0,0,0,-426,-358,0,-1702296,-1430568
4250,0,0,0,0,-426,-358,0,-1808796,-1520068
4500,0,0,0,0,-426,-358,0,-1915296,-1609568
4750,0,0,0,0,-426,-358,0,-2021796,-1699068
5000,0,0,0,0,-426,-358,0,-2128296,-1788568
5250,0,0,0,0,-426,-358,0,-2234796,-1878068
5500,0,0,0,0,-426,-358,0,-2341296,-1967568
5750,0,0,0,0,-426,-358,0,-2447796,-2057068
6000,0,0,0,0,-426,-358,0,-2554296,-2146568
6250,0,0,0,0,-426,-358,0,-2660796,-2236068
6500,0,0,0,0,-426,-358,0,-2767296,-2325568
6750,0,0,0,0,-426,-358,0,-2873796,-2415068
7000,0,0,0,0,-426,-358,0,-2980296,-2504568
7250,0,0,0,0,-426,-358,0,-3086796,-2594068
7500,0,0,0,0,-426,-358,0,-3193296,-2683568
7750,0,0,0,0,-426,-358,0,-3299796,-2773068
8000,0,0,0,0,-426,-358,0,-3406296,-2862568
8250,0,0,0,0,-426,-358,0,-3512796,-2952068
8500,0,0,0,0,-426,-358,0,-3619296,-3041568
8750,0,0,0,0,-426,-358,0,-3725796,-3131068
9000,0,0,0,0,-426,-358,0,-3832296,-3220568
9250,0,0,0,0,-426,-358,0,-3938796,-3310068
9500,0,0,0,0,-426,-358,0,-4045296,-3399568
9750,0,0,0,0,-426,-358,0,-4151796,-3489068
10000,0,0,0,0,-426,-358,0,-4258296,-3578568
10250,0,0,0,0,-426,-358,0,-4364796,-3668068
10500,0,0,0,0,-426,-358,0,-4471296,-3757568
10750,0,0,0,0,-426,-358,0,-4577796,-3847068
11000,0,0,0,0,-426,-358,0,-4684296,-3936568
11250,0,0,0,0,-426,-358,0,-4790796,-4026068
11500,0,0,0,0,-426,-358,0,-4897296,-4115568
11750,0,0,0,0,-426,-358,0,-5003796,-4205068
12000,0,0,0,0,-426,-358,0,-5110296,-4294568
12250,0,0,0,0,-426,-358,0,-5216796,-4384068
12500,0,0,0,0,-426,-358,0,-5323296,-4473568
12750,0,0,0,0,-426,-358,0,-5429796,-4563068
13000,0,0,0,0,-426,-358,0,-5536296,-4652568
13250,0,0,0,0,-426,-358,0,-5642796,-4742068
13500,0,0,0,0,-426,-358,0,-5749296,-4831568
13750,0,0,0,0,-426,-358,0,-5855796,-4921068
14000,0,0,0,0,-426,-358,0,-5962296,-5010568
14250,0,0,0,0,-426,-358,0,-6068796,-5100068
14500,0,0,0,0,-426,-358,0,-6175296,-5189568
14750,0,0,0,0,-426,-358,0,-6281796,-5279068
15000,0,0,0,0,-426,-358,0,-6388296,-5368568
15250,0,0,0,0,-426,-358,0,-6494796,-5458068
15500,0,0,0,0,-426,-358,0,-6601296,-5547568
15750,0,0,0,0,-426,-358,0,-6707796,-5637068
16000,0,0,0,0,-426,-358,0,-6814296,-5726568
16250,0,0,0,0,-426,-358,0,-6920796,-5816068
16500,0,0,0,0,-426,-358,0,-7027296,-5905568
16750,0,0,0,0,-426,-358,0,-7133796,-5995068
17000,0,0,0,0,-426,-358,0,-7240296,-6084568
17250,0,0,0,0,-426,-358,0,-7346796,-6174068
17500,0,0,0,0,-426,-358,0,-7453296,-6263568
17750,0,0,0,0,-426,-358,0,-7559796,-6353068
18000,0,0,0,0,-426,-358,0,-7666296,-6442568
18250,0,0,0,0,-426,-358,0,-7772796,-6532068
18500,0,0,0,0,-426,-358,0,-7879296,-6621568
18750,0,0,0,0,-426,-358,0,-7985796,-6711068
19000,0,0,0,0,-426,-358,0,-8092296,-6800568
19250,0,0,0,0,-426,-358,0,-8198796,-6890068
19500,0,0,0,0,-426,-358,0,-8305296,-6979568
19750,0,0,0,0,-426,-638,0,-8411796,-7135708
20000,0,0,0,0,-426,-638,0,-8518296,-7295208
20250,0,0,0,0,-426,-638,0,-8624796,-7454708
20500,0,0,0,0,-426,-638,0,-8731296,-7614208
20750,0,0,0,0,-426,-638,0,-8837796,-7773708
21000,0,0,0,0,-426,-638,0,-8944296,-7933208
21250,0,0,0,0,-426,-638,0,-9050796,-8092708
21500,0,0,0,0,-426,-638,0,-9157296,-8252208
21750,0,0,0,0,-426,-638,0,-9263796,-8411708
22000,0,0,0,0,-426,-638,0,-9370296,-8571208
22250,0,0,0,0,-426,-638,0,-9476796,-8730708
22500,0,0,0,0,-426,-638,0,-9583296,-8890208
22750,0,0,0,0,-426,-638,0,-9689796,-9049708
23000,0,0,0,0,-426,-638,0,-9796296,-9209208
23250,0,0,0,0,-426,-638,0,-9902796,-9368708
23500,0,0,0,0,-426,-638,0,-10009296,-9528208
23750,0,0,0,0,-426,-638,0,-10115796,-9687708
24000,0,0,0,0,-426,-638,0,-10222296,-9847208
24250,0,0,0,0,-426,-638,0,-10328796,-10006708
24500,0,0,0,0,-426,-638,0,-10435296,-10166208
24750,0,0,0,0,-426,-638,0,-10541796,-10325708
25000,0,0,0,0,-426,-638,0,-10648296,-10485208
25250,0,0,0,0,-426,-638,0,-10754796,-10644708
25500,0,0,0,0,-426,-638,0,-10861296,-10804208
25750,0,0,0,0,-426,-638,0,-10967796,-10963708
26000,0,0,0,0,-426,-638,0,-11074296,-11123208
26250,0,0,0,0,-426,-638,0,-11180796,-11282708
26500,0,0,0,0,-426,-638,0,-11287296,-11442208
26750,0,0,0,0,-426,-638,0,-11393796,-11601708
27000,0,0,0,0,-426,-638,0,-11500296,-11761208
