TmpAbs,AcX,AcY,AcZ,VelX,VelY,VelZ,PosX,PosY,PosZ
4000,-38000.000000,191000.000000,9854000.000000,-137118,837003,39502258,-277653194,1674495715,79028603078
4250,-19000.000000,201000.000000,9883000.000000,-146045,889615,41970027,-313038467,1890371981,89212608867
840000,-38000.000000,201000.000000,9854000.000000,-33803836,173522525,8292125568,-13680724670406,72970642784565,3482744293370014
840250,-76000.000000,220000.000000,9892000.000000,-33814864,173573734,8294594016,-13689177015308,73014029803360,3484817633294296
840500,-57000.000000,153000.000000,9921000.000000,-33826589,173624667,8297062449,-13697632211865,73057429647833,3486891590286461
840750,-47000.000000,229000.000000,9892000.000000,-33838339,173676095,8299530546,-13706090328239,73100842216549,3488966164404508
841000,-28000.000000,210000.000000,9816000.000000,-33849714,173727038,8301997418,-13714551341916,73144267670322,3491041355417128
841250,0.000000,210000.000000,9883000.000000,-33860562,173778980,8304464685,-13723015138976,73187705942998,3493117163253627
841500,-9000.000000,210000.000000,9844000.000000,-33871581,173830144,8306932152,-13731481625349,73231157108654,3495193587853564
841750,-76000.000000,220000.000000,9864000.000000,-33882058,173882098,8309399262,-13739950889408,73274621200776,3497270629286312
842000,-38000.000000,210000.000000,9883000.000000,-33893742,173933650,8311867145,-13748422782250,73318098160462,3499348287518467
842250,-47000.000000,172000.000000,9883000.000000,-33904595,173984892,8314335193,-13756897561419,73361588002772,3501426562759831
842500,-28000.000000,181000.000000,9854000.000000,-33916578,174036401,8316803422,-13765375215664,73405090656793,3503505455078378
842750,-9000.000000,229000.000000,9883000.000000,-33927269,174087819,8319271407,-13773855642601,73448606197537,3505584964447655
843000,-47000.000000,191000.000000,9844000.000000,-33937997,174138419,8321738608,-13782338809591,73492134490391,3507665090685616
843250,-57000.000000,229000.000000,9892000.000000,-33949267,174189675,8324206442,-13790824752753,73535675593621,3509745833843760
843500,-38000.000000,201000.000000,9902000.000000,-33960150,174241051,8326674816,-13799313491602,73579229457613,3511827194010878
843750,-38000.000000,181000.000000,9854000.000000,-33971126,174292487,8329143794,-13807804885226,73622796078101,3513909171357746
844000,-47000.000000,220000.000000,9864000.000000,-33982653,174343062,8331612102,-13816299159099,73666375551796,3515991765830512
844250,-38000.000000,229000.000000,9902000.000000,-33993566,174394169,8334079980,-13824796209698,73709967694257,3518074977302122
844500,-19000.000000,201000.000000,9873000.000000,-34004685,174445347,8336547521,-13833295938527,73753572661761,3520158805685061
844750,-57000.000000,220000.000000,9835000.000000,-34015615,174497138,8339015409,-13841798452701,73797190426008,3522243251130579
845000,-28000.000000,181000.000000,9864000.000000,-34026454,174548491,8341482882,-13850303684612,73840821128997,3524328313387100
845250,-47000.000000,201000.000000,9864000.000000,-34037023,174600321,8343950814,-13858811599791,73884464775549,3526413992648716
845500,-38000.000000,191000.000000,9816000.000000,-34048288,174650809,8346418510,-13867322247690,73928121130327,3528500288792260
845750,-38000.000000,172000.000000,9854000.000000,-34059334,174701870,8348885400,-13875835738102,73971790218216,3530587201721142
846000,-38000.000000,210000.000000,9854000.000000,-34070068,174753024,8351353348,-13884351978218,74015471987478,3532674731542590
846250,-57000.000000,191000.000000,9873000.000000,-34081095,174804535,8353821013,-13892870869125,74059166654191,3534762878308201
846500,-19000.000000,220000.000000,9864000.000000,-34092593,174855722,8356288448,-13901392551003,74102874158432,3536851641994704
846750,-67000.000000,229000.000000,9873000.000000,-34104009,174907523,8358756529,-13909917108703,74146594548981,3538941022610037
847000,-47000.000000,201000.000000,9902000.000000,-34114953,174957751,8361224008,-13918444476947,74190327729605,3541031020100182
